assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
68067360,202963,Ilex aquifolium,1,1,1,Megan Barstow,2018,BGCI,Extant (resident), , , , , ,    http://api.gbif.org/v1/occurrence/download/request/0002978-180131172636756.zip,UNKNOWN,1882,9.663779,47.239206
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1425331390,HUMAN_OBSERVATION,2017,6.693509,58.295544
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440375184,HUMAN_OBSERVATION,2016,4.57002,51.36314
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440376514,HUMAN_OBSERVATION,2016,4.73855,50.89531
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1677244834,HUMAN_OBSERVATION,2017,10.984215,54.189751
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_ArtDatabanken_1801852773,HUMAN_OBSERVATION,2017,13.400052,55.683147
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_http://www.tela-botanica.org_1677361297,HUMAN_OBSERVATION,2017,3.06995,45.74907
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1640108881,HUMAN_OBSERVATION,2017,8.398972,47.382072
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1425331405,HUMAN_OBSERVATION,2017,6.645512,58.296073
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797703711,HUMAN_OBSERVATION,2017,6.133778,62.471896
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123417,HUMAN_OBSERVATION,2017,6.162407,51.293888
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797681107,HUMAN_OBSERVATION,2017,5.440808,60.148951
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1571177814,HUMAN_OBSERVATION,2017,8.773339,44.562428
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1668765725,HUMAN_OBSERVATION,2017,7.901573,48.308773
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1236935736,HUMAN_OBSERVATION,2016,5.681027,58.959392
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NatureSpot_1555621530,HUMAN_OBSERVATION,2017,-1.10676,52.63353
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1562910337,HUMAN_OBSERVATION,2017,6.997075,46.335193
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1236999594,HUMAN_OBSERVATION,2016,6.794515,58.066029
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1562923097,HUMAN_OBSERVATION,2017,7.004981,46.321928
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797647107,HUMAN_OBSERVATION,2017,5.890047,58.484951
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_South East Wales Biodiversity Records Centre_1551194864,HUMAN_OBSERVATION,2016,-2.80114,51.92079
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797726705,HUMAN_OBSERVATION,2017,6.911835,62.783457
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1562895757,HUMAN_OBSERVATION,2017,6.998591,47.053195
68067360,202963,Ilex aquifolium,1,1,1,Megan Barstow,2018,BGCI,Extant (resident), , ,GBIF.org (20th February 2017) GBIF Occurrence Download http://doi.org/10.15468/dl.vvvfpx, , ,user_10,HUMAN_OBSERVATION,,5.50903797,36.51883387
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1703136794,HUMAN_OBSERVATION,2017,-1.317197,43.007872
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_ULB_1701202886,HUMAN_OBSERVATION,2017,4.65,50.016667
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1699390424,HUMAN_OBSERVATION,2017,3.557933,51.023922
68067360,202963,Ilex aquifolium,1,1,1,Megan Barstow,2018,BGCI,Extant (resident), , , , , ,    http://api.gbif.org/v1/occurrence/download/request/0002978-180131172636756.zip,HUMAN_OBSERVATION,2016,16.148127,46.323607
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123503,HUMAN_OBSERVATION,2017,7.180732,51.2061
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NatureSpot_1555720892,HUMAN_OBSERVATION,2017,-1.08642,52.6172
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123454,HUMAN_OBSERVATION,2017,8.198462,48.270798
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , ,"flera buskar vid några tallar, återfynd", , ,gbif_ArtDatabanken_1676150019,HUMAN_OBSERVATION,2017,12.953122,55.406502
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123505,HUMAN_OBSERVATION,2017,8.229119,48.208416
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1703164235,HUMAN_OBSERVATION,2017,-0.627677,44.7692
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1453521353,HUMAN_OBSERVATION,2017,8.942445,45.766309
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440377393,HUMAN_OBSERVATION,2016,4.45474,51.14756
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,"gbif_Record, the Biodiversity Information System for Cheshire, Halton, Warrington and the Wirral_1551453410",HUMAN_OBSERVATION,2016,-2.37554,53.18151
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_South East Wales Biodiversity Records Centre_1550883382,HUMAN_OBSERVATION,2016,-2.65184,51.65198
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Asplan Viak AS_1802521913,HUMAN_OBSERVATION,2017,5.38042,60.13207
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1677244742,HUMAN_OBSERVATION,2016,7.172038,50.646851
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1677244813,HUMAN_OBSERVATION,2017,7.493003,49.823143
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_INBO_1587270877,HUMAN_OBSERVATION,2017,3.63424,51.0689
68067360,202963,Ilex aquifolium,1,1,1,Megan Barstow,2018,BGCI,Extant (resident), , , , , ,    http://api.gbif.org/v1/occurrence/download/request/0002978-180131172636756.zip,PRESERVED_SPECIMEN,1998,22.166667,38.7
68067360,202963,Ilex aquifolium,1,1,1,Megan Barstow,2018,BGCI,Extant (resident), , , , , ,    http://api.gbif.org/v1/occurrence/download/request/0002978-180131172636756.zip,HUMAN_OBSERVATION,2012,19.692639,44.312817
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1562960231,HUMAN_OBSERVATION,2017,9.508177,45.717383
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797676939,HUMAN_OBSERVATION,2017,6.715086,58.667148
68067360,202963,Ilex aquifolium,1,1,1,Megan Barstow,2018,BGCI,Extant (resident), , , , , ,    http://api.gbif.org/v1/occurrence/download/request/0002978-180131172636756.zip,HUMAN_OBSERVATION,2017,9.779623,47.520213
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1621782588,HUMAN_OBSERVATION,2017,-3.696513,50.737474
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , ,Hönö kyrkogård, , ,gbif_ArtDatabanken_1433773095,HUMAN_OBSERVATION,2017,11.647098,57.691468
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797647959,HUMAN_OBSERVATION,2017,5.536164,59.314252
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_BDBCV_1501647198,HUMAN_OBSERVATION,2016,0.08,40.56
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_http://www.tela-botanica.org_1571242813,HUMAN_OBSERVATION,2017,5.73273,45.18574
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123365,HUMAN_OBSERVATION,2017,13.101454,54.552715
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797648585,HUMAN_OBSERVATION,2017,5.564911,58.856359
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1677334997,HUMAN_OBSERVATION,2017,-0.603618,44.764445
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123511,HUMAN_OBSERVATION,2017,6.269331,51.342678
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1703230260,HUMAN_OBSERVATION,2017,12.356271,44.111433
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , ,Europäische Stechpalme (Ilex aquifolium) in der ehem. Bismarckanlage in Sankt Arnual, , ,gbif_iNaturalist_1806365115,HUMAN_OBSERVATION,2018,7.006279,49.224676
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_ArtDatabanken_1428361022,HUMAN_OBSERVATION,2016,12.829892,55.389086
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_http://www.tela-botanica.org_1500357807,HUMAN_OBSERVATION,2017,-0.50965,43.07743
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1677350544,HUMAN_OBSERVATION,2017,-0.605878,44.763672
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_INBO_1316184946,HUMAN_OBSERVATION,2016,3.36956,50.7703
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1236932245,HUMAN_OBSERVATION,2016,7.841089,58.07717
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440377267,HUMAN_OBSERVATION,2016,4.39744,50.93184
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797677571,HUMAN_OBSERVATION,2017,5.415934,59.421837
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797668850,HUMAN_OBSERVATION,2017,5.132686,61.988435
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1571068708,HUMAN_OBSERVATION,2017,-1.303288,51.726143
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440368259,HUMAN_OBSERVATION,2016,4.45481,51.18351
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,"gbif_Record, the Biodiversity Information System for Cheshire, Halton, Warrington and the Wirral_1551580396",HUMAN_OBSERVATION,2016,-2.9781,53.35786
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1571074433,HUMAN_OBSERVATION,2017,9.042942,45.805794
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1236969787,HUMAN_OBSERVATION,2016,5.709791,58.935064
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_http://www.tela-botanica.org_1668921975,HUMAN_OBSERVATION,2017,3.07113,45.74948
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123442,HUMAN_OBSERVATION,2017,13.439734,52.446922
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123421,HUMAN_OBSERVATION,2017,6.458116,51.354927
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797732813,HUMAN_OBSERVATION,2017,7.958139,58.095728
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_South East Wales Biodiversity Records Centre_1551005342,HUMAN_OBSERVATION,2016,-3.36899,51.46597
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123463,HUMAN_OBSERVATION,2017,6.243968,51.314495
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797702494,HUMAN_OBSERVATION,2017,8.637921,58.34614
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_INBO_1437788985,HUMAN_OBSERVATION,2016,4.19027,51.16993
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440377911,HUMAN_OBSERVATION,2016,4.45481,51.18351
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,"gbif_Record, the Biodiversity Information System for Cheshire, Halton, Warrington and the Wirral_1551666970",HUMAN_OBSERVATION,2016,-2.9781,53.35786
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Merseyside BioBank_1544693089,HUMAN_OBSERVATION,2016,-2.82821,53.37698
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123416,HUMAN_OBSERVATION,2017,13.439734,52.446922
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1699392316,HUMAN_OBSERVATION,2017,-0.607503,44.775462
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1668885690,HUMAN_OBSERVATION,2017,-9.808453,53.919033
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_South East Wales Biodiversity Records Centre_1550751346,HUMAN_OBSERVATION,2016,-4.09246,51.54521
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1425335628,HUMAN_OBSERVATION,2017,5.650879,58.934142
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_South East Wales Biodiversity Records Centre_1551140691,HUMAN_OBSERVATION,2016,-3.66333,51.64201
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NatureSpot_1555706432,HUMAN_OBSERVATION,2016,-1.31562,52.50547
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NBF_1797647464,HUMAN_OBSERVATION,2017,6.810353,62.478999
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Natuurpunt_1440369853,HUMAN_OBSERVATION,2016,4.62624,51.1473
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_NatureSpot_1555664939,HUMAN_OBSERVATION,2016,-0.93913,52.78318
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123387,HUMAN_OBSERVATION,2017,6.154876,51.300732
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_naturgucker_1580123396,HUMAN_OBSERVATION,2017,7.029405,50.704285
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_iNaturalist_1572394241,HUMAN_OBSERVATION,2017,-9.857286,53.458544
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_Lorn Natural History Group_1543341400,HUMAN_OBSERVATION,2016,-5.28813,56.45902
68067360,202963,Ilex aquifolium,1,1,1,IUCN,2018,BGCI,Extant (resident), , , , , ,gbif_INBO_1437797823,HUMAN_OBSERVATION,2016,4.58984,51.00805
